Date,Site_ID,Sales_Volume,Conversion_Rate,Average_Order_Value,Cart_Abandonment_Rate,Customer_Lifetime_Value,Traffic_Source,Customer_ID,Customer_Name,Customer_Email
2024-01-01,4,1740,0.04,235,0.21,616,Organic,1528,Alice Brown,johndoe@mail.com
2024-01-02,2,2570,0.09,290,0.36,949,Social Media,1872,Alice Brown,chriswhite@mail.com
2024-01-03,2,2546,0.07,121,0.49,940,Organic,1597,Chris White,johndoe@mail.com
2024-01-04,3,4048,0.01,290,0.45,813,Organic,1268,Bob Green,bobgreen@mail.com
2024-01-05,2,1028,0.09,203,0.48,357,Social Media,1373,Bob Green,bobgreen@mail.com
2024-01-06,2,1419,0.02,288,0.25,757,Referral,1540,Alice Brown,johndoe@mail.com
2024-01-07,2,2868,0.06,200,0.12,564,Organic,1071,Bob Green,chriswhite@mail.com
2024-01-08,3,1231,0.02,275,0.19,810,Referral,1003,Chris White,bobgreen@mail.com
2024-01-09,2,4644,0.08,267,0.48,832,Social Media,1061,Jane Smith,alicebrown@mail.com
2024-01-10,2,2053,0.04,91,0.31,432,Paid,1487,Jane Smith,alicebrown@mail.com
2024-01-11,4,2315,0.07,145,0.41,927,Social Media,1765,John Doe,janesmith@mail.com
2024-01-12,3,2907,0.02,114,0.37,818,Social Media,1901,Bob Green,chriswhite@mail.com
2024-01-13,3,3595,0.09,164,0.24,415,Paid,1771,Bob Green,johndoe@mail.com
2024-01-14,2,4611,0.09,94,0.3,328,Social Media,1667,John Doe,chriswhite@mail.com
2024-01-15,5,2857,0.09,97,0.32,318,Paid,1038,Alice Brown,chriswhite@mail.com
2024-01-16,4,2919,0.04,189,0.29,729,Organic,1576,Chris White,janesmith@mail.com
2024-01-17,3,3418,0.09,229,0.25,959,Social Media,1214,Alice Brown,bobgreen@mail.com
2024-01-18,5,1576,0.04,183,0.33,440,Paid,1601,Bob Green,johndoe@mail.com
2024-01-19,1,2597,0.07,206,0.17,810,Organic,1203,Jane Smith,chriswhite@mail.com
2024-01-20,2,1704,0.02,191,0.16,352,Organic,1850,Alice Brown,johndoe@mail.com
2024-01-21,5,2252,0.09,118,0.25,699,Referral,1324,Alice Brown,bobgreen@mail.com
2024-01-22,3,2844,0.07,117,0.23,210,Social Media,1206,John Doe,johndoe@mail.com
2024-01-23,5,4498,0.05,194,0.3,683,Referral,1595,Alice Brown,bobgreen@mail.com
2024-01-24,1,1685,0.08,78,0.22,464,Social Media,1626,John Doe,janesmith@mail.com
2024-01-25,4,3157,0.02,273,0.4,394,Referral,1484,Jane Smith,johndoe@mail.com
2024-01-26,5,2857,0.04,111,0.26,307,Referral,1332,Alice Brown,johndoe@mail.com
2024-01-27,3,3231,0.07,61,0.12,710,Organic,1100,Alice Brown,janesmith@mail.com
2024-01-28,1,4508,0.04,271,0.46,769,Referral,1798,Chris White,janesmith@mail.com
2024-01-29,1,1791,0.08,177,0.29,988,Organic,1305,Bob Green,janesmith@mail.com
2024-01-30,3,2684,0.01,252,0.49,573,Organic,1643,Alice Brown,alicebrown@mail.com
2024-01-31,4,2529,0.03,67,0.5,428,Organic,1172,Alice Brown,bobgreen@mail.com
2024-02-01,3,3993,0.08,265,0.41,921,Paid,1476,Chris White,bobgreen@mail.com
2024-02-02,2,4839,0.02,98,0.15,537,Paid,1759,Bob Green,bobgreen@mail.com
2024-02-03,1,2101,0.01,202,0.27,898,Organic,1669,Bob Green,alicebrown@mail.com
2024-02-04,1,1119,0.02,110,0.19,973,Social Media,1698,Jane Smith,bobgreen@mail.com
2024-02-05,3,3348,0.03,118,0.11,423,Social Media,1245,Chris White,johndoe@mail.com
2024-02-06,1,2713,0.03,171,0.38,598,Referral,1711,Bob Green,bobgreen@mail.com
2024-02-07,5,2631,0.04,207,0.25,261,Paid,1978,John Doe,johndoe@mail.com
2024-02-08,1,3602,0.09,284,0.18,339,Referral,1074,Alice Brown,chriswhite@mail.com
2024-02-09,4,3089,0.07,183,0.26,792,Paid,1278,John Doe,janesmith@mail.com
2024-02-10,1,4317,0.05,87,0.33,808,Organic,1653,Jane Smith,bobgreen@mail.com
2024-02-11,1,3757,0.04,195,0.18,301,Referral,1563,Chris White,chriswhite@mail.com
2024-02-12,5,3939,0.03,104,0.2,462,Social Media,1629,John Doe,alicebrown@mail.com
2024-02-13,1,4685,0.06,72,0.3,876,Paid,1236,Bob Green,janesmith@mail.com
2024-02-14,3,3923,0.1,229,0.13,802,Referral,1209,Jane Smith,chriswhite@mail.com
2024-02-15,3,2776,0.09,222,0.2,910,Referral,1021,Chris White,alicebrown@mail.com
2024-02-16,2,3210,0.08,256,0.35,827,Organic,1018,Chris White,bobgreen@mail.com
2024-02-17,2,2113,0.07,245,0.28,848,Social Media,1224,Alice Brown,bobgreen@mail.com
2024-02-18,2,3686,0.05,207,0.43,563,Organic,1674,Bob Green,janesmith@mail.com
2024-02-19,5,3652,0.04,158,0.41,206,Paid,1268,Chris White,bobgreen@mail.com
2024-02-20,2,4625,0.05,82,0.43,424,Paid,1994,Alice Brown,chriswhite@mail.com
2024-02-21,3,2102,0.08,111,0.27,625,Social Media,1451,Chris White,janesmith@mail.com
